train_loss,epoch,step
6.846395969390869,0,49
5.765320301055908,1,99
5.5081095695495605,2,149
5.535312652587891,3,199
5.474268913269043,4,249
5.382214546203613,5,299
5.412647247314453,6,349
5.371356010437012,7,399
5.375737190246582,8,449
5.201643466949463,9,499
5.21983528137207,10,549
5.006498336791992,11,599
5.181985378265381,12,649
5.035562038421631,13,699
5.053461074829102,14,749
5.287069320678711,15,799
5.032697677612305,16,849
5.143327236175537,17,899
5.0099382400512695,18,949
5.0596771240234375,19,999
5.128732681274414,20,1049
5.078694820404053,21,1099
4.8636794090271,22,1149
4.929720401763916,23,1199
4.840921878814697,24,1249
4.832040786743164,25,1299
4.819761753082275,26,1349
4.8980393409729,27,1399
4.753962516784668,28,1449
4.625106334686279,29,1499
4.589449882507324,30,1549
4.7240214347839355,31,1599
4.641754627227783,32,1649
4.648599147796631,33,1699
4.611560344696045,34,1749
4.557180404663086,35,1799
4.624399662017822,36,1849
4.543139457702637,37,1899
4.482894420623779,38,1949
4.640615463256836,39,1999
4.432435512542725,40,2049
4.463852405548096,41,2099
4.459967613220215,42,2149
4.525237083435059,43,2199
4.414827823638916,44,2249
4.479608058929443,45,2299
4.426000595092773,46,2349
4.534841537475586,47,2399
4.416696548461914,48,2449
4.43903112411499,49,2499
4.419768810272217,50,2549
4.247508525848389,51,2599
4.480040550231934,52,2649
4.430066108703613,53,2699
4.293102264404297,54,2749
4.365889072418213,55,2799
4.254968166351318,56,2849
4.291782855987549,57,2899
4.364278793334961,58,2949
4.235706806182861,59,2999
4.206295967102051,60,3049
4.295729160308838,61,3099
4.26276969909668,62,3149
4.223496913909912,63,3199
4.340896129608154,64,3249
4.208613395690918,65,3299
4.273397922515869,66,3349
4.221470832824707,67,3399
4.2889323234558105,68,3449
4.1565260887146,69,3499
4.1177754402160645,70,3549
4.132565021514893,71,3599
4.236434459686279,72,3649
4.22639274597168,73,3699
4.0509443283081055,74,3749
3.9622678756713867,75,3799
4.309228420257568,76,3849
4.214725494384766,77,3899
4.123598575592041,78,3949
4.106288433074951,79,3999
4.075564861297607,80,4049
4.076610088348389,81,4099
4.0184149742126465,82,4149
4.066822052001953,83,4199
4.059605598449707,84,4249
4.083089828491211,85,4299
3.9018430709838867,86,4349
4.055820465087891,87,4399
4.013382434844971,88,4449
3.9263525009155273,89,4499
4.018406867980957,90,4549
3.960930109024048,91,4599
3.8657398223876953,92,4649
3.8807973861694336,93,4699
4.112982273101807,94,4749
4.058821678161621,95,4799
4.052424430847168,96,4849
4.072790145874023,97,4899
4.089257717132568,98,4949
3.9847164154052734,99,4999
